type,text
ham,NEFT Transaction with reference number  #  for Rs. DECIMAL  has been credited to the beneficiary account on  #  at  TIME : #
ham,I am waiting for your call sir.
ham,Am i that much bad to avoid like this?
spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.
ham,Good morning princess! Happy New Year!
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
ham,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. & One step back can ruin ur friendship.. good night:-) ..."
ham,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  # day return period ended.
ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
ham,"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?"
ham,Sry da..jst nw only i came to home..
ham,"If we hit it off, you can move in with me :)"
spam,Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service
ham,He didn't see his shadow. We get an early spring yay
ham,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring stuff out before the last second"
ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy
ham,"Call me da, i am waiting for your call."
spam,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
ham,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.
ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D
ham,There are many company. Tell me the language.
ham,Am slow in using biola's fne
ham,"That's cool, I'll come by like  # ish"
ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about the cave. I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
ham,I thk 50 shd be ok he said plus minus 10.. Did u leave a line in between paragraphs?
ham,I'm still pretty weak today .. Bad day ?
ham,Its a part of checking IQ
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
ham,Hows the street where the end of library walk is?
ham,Surly ill give it to you:-) while coming to review.
ham,"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend."
spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
ham,"Aight, lemme know what's up"
ham,Then mum's repent how?
spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062."
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
spam,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,I am joining today formally.Pls keep praying.will talk later.
ham,Hey company elama po mudyadhu.
ham,26th OF JULY
ham,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x"
ham,I know she called me
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
ham,Sorry. || mail? || 
ham,This is ur face test ( 1 2 3 4 5 6 7 8 9  #  ) select any number i will tell ur face astrology.... am waiting. quick reply...
ham,Bognor it is! Should be splendid at this time of year.
spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
ham,Remember on that day..
ham,hanks lotsly!
ham,"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do."
ham,Waiting for your call.
ham,Tomarrow final hearing on my laptop case so i cant.
ham,Just wanted to say you guys weren't kidding about this bud
ham,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a storm is attributed to me always coming over and making everyone smoke
ham,Dude we should go sup again
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
ham,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
ham,I'm meeting Darren...
ham,u all write or wat..
ham,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI"
ham,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
ham,Your dad is back in ph?
ham,We have to pick rayan macleran there.
ham,LOOK AT THE TIME. WHAT DO YOU THINK IS UP
ham,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ..."
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
ham,Alright i have a new goal now
ham,Just got up. have to be out of the room very soon. .... i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
ham,Senthil group company Apnt 5pm.
ham,"Sorry, I'll call later in meeting"
ham,Good. No swimsuit allowed :)
ham,I think that tantrum's finished so yeah I'll be by at some point
ham,Wif my family booking tour package.
ham,GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI
ham,7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st Ur Lovely Friendship... good morning dear
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
ham,"Sorry, I'll call you  later. I am in meeting sir."
ham,"Im in inperialmusic listening2the weirdest track ever by”leafcutter john”-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
ham,Dare i ask... Any luck with sorting out the car?
ham,My birthday is on feb  #  da. .
ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
ham,"Aight, sounds good. When do you want me to come down?"
ham,Nope. I just forgot. Will show next week
ham,Detroit. The home of snow. Enjoy it.
ham,Ok
ham,Yes..gauti and sehwag out of odi series.
ham,Yes :)it completely in out of form:)clark also utter waste.
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
ham,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills but i still avent killed myself. 
ham,Hey gals.. Anyone of u going down to e driving centre tmr?
ham,Or remind me in a few hrs.
ham,I know you are. Can you pls open the back?
ham,"He will, you guys close?"
ham,Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: GOODMORNING & HAVE A NICE DAY :)
spam,"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120"
ham,Uncle Abbey! Happy New Year. Abiola
ham,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all
ham,Customer place i will call you.
ham,A boy was late 2 home. His father: POWER OF FRNDSHIP
ham,Good Morning my Dear Shijutta........... Have a great & successful day.
ham,I'm okay. Chasing the dream. What's good. What are you doing next.
ham,En chikku nange bakra msg kalstiya..then had tea/coffee?
ham,What's ur pin?
spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL
ham,K I'll call you when I'm close
ham,Good morning princess! Have a great day!
ham,Dude how do you like the buff wind.
ham,What Today-sunday..sunday is holiday..so no work..
ham,So u gonna get deus ex?
ham,"CHA QUITEAMUZING THAT’SCOOL BABE,PROBPOP IN & CU SATTHEN HUNNY 4BREKKIE! LOVE JEN XXX. PSXTRA LRG PORTIONS 4 ME PLEASE "
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
ham,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
ham,Oh ok wait 4 me there... My lect havent finish
ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
ham,;-) ok. I feel like john lennon.
ham,Ranjith cal drpd Deeraj and deepak 5min hold
ham,"Hi, Mobile no.  #  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
ham,Me i'm not workin. Once i get job...
ham,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
ham,Can you talk with me..
ham,"I guess you could be as good an excuse as any, lol."
ham,"Alright if you're sure, let me know when you're leaving"
ham,Ard 515 like dat. Y?
ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
spam,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
ham,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
ham,Shant disturb u anymore... Jia you...
ham,Alex says he's not ok with you not being ok with it
ham,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
ham,I'm already back home so no probably not
ham,Nothin comes to my mind. u help me buy hanger lor. Ur laptop not heavy?
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
ham,Same. Wana plan a trip sometme then
ham,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
ham,"K, I'll work something out"
ham,You're gonna have to be way more specific than that
ham,Can you please send me my aunty's number
ham,From 5 to 2 only my work timing.
ham,What year. And how many miles.
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  URL
ham,Tired. I haven't slept well the past few nights.
ham,"Yeah, probably here for a while"
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
ham,I.ll post her out l8r. In class
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
ham,Wat u doing there?
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! 
ham,Are u awake? Is there snow there?
ham,That's the way you should stay oh.
ham,Still chance there. If you search hard you will get it..let have a try :)
ham,Why you keeping me away like this
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
ham,Yup... Ok i go home look at the timings then i msg u again... Xuhui going to learn on 2nd may too but her lesson is at 8am
ham,Want to send me a virtual hug?... I need one
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,Wanna do some art?! :D
ham,Goodnight da thangam I really miss u dear.
ham,Thanks honey. Have a great day.
ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
ham,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit"
spam,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890£1.50 per msg
ham,"Aight, can you text me the address?"
ham,Ok lor then we go tog lor...
ham,"Sorry, went to bed early, nightnight"
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
ham,There bold 2  # . Is that yours
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,I AM AT THE GAS STATION. GO THERE.
ham,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
ham,Got it..mail panren paru..
ham,Then dun wear jeans lor...
ham,"Haha I heard that, text me when you're around"
ham,Sorry me going home first... Daddy come fetch u later...
ham,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!"
ham,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. "
ham,Lol enjoy role playing much?
ham,Blank is Blank. But wat is blank? Lol
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
ham,Finish liao... U?
ham,Great! I hope you like your man well endowed. I am  #  inches...
ham,"Edison has rightly said, A fool can ask more questions than a wise man can answer Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)"
ham,Hui xin is in da lib.
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
ham,"Yes, princess. Are you going to make me moan?"
ham,Try to do something dear. You read something for exams
ham,"I've got ten bucks, jay is being noncomittal"
ham,Ok ill send you with in  DECIMAL  ok.
ham,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much"
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
ham,Yes. Nigh you cant aha.
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham,"Happy or sad , one thing about past is- Its no more GOOD MORNING :-):-)."
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
ham,Hey mate. Spoke to the mag people. We€˜re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. 
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
ham,I will see in half an hour
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
ham,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
ham,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*
ham,Then ur sis how?
ham,Sitting ard nothing to do lor. U leh busy w work?
ham,"When you get free, call me"
ham,I wont. So wat's wit the guys
ham,Nothing. Can...
ham,u got wat to buy tell us then u no need to come in again.
ham,Or ill be a little closer like at the bus stop on the same street
ham,u takin linear algebra today?
ham,Ya! when are u taking ure practical lessons? I start in june..  
ham,Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry
ham,Is that what time you want me to come?
spam,"SMS. ac sun0819 posts HELLO:You seem cool, wanted to say hi. HI!!! Stop? Send STOP to 62468"
spam,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or £1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR"
ham,Just wait till end of march when el nino gets himself. Oh.
ham,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....
ham,How r u going to send it to me?
ham,Apart from the one i told you about yesterday?
ham,"Awesome, think we can get an 8th at usf some time tonight?"
ham,"No, its true..k,Do u knw dis no. # ?"
ham,"Sorry battery died, yeah I'm here"
ham,I cant pick the phone right now. Pls send a message
ham,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.
ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down
ham,Armand says get your butt over to epsilon
ham,That depends. How would you like to be treated? :)
ham,Also you and your family for going to rhode island or wherever and leaving me all alone the week I have a new bong :(
ham,S'fine. Anytime. All the best with it.
ham,My sister got placed in birla soft da:-)
ham,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?"
ham,K..k...from tomorrow onwards started ah?
ham,Studying. But i.ll be free next weekend.
ham,Reverse is cheating. That is not mathematics.
ham,Many more happy returns of the day. I wish you happy birthday.
ham,"Sorry,in meeting I'll call later"
ham,Any way where are you and what doing.
ham,No da. . Vijay going to talk in jaya tv
ham,Wa... U so efficient... Gee... Thanx...
ham,Tmr then u brin lar... Aiya later i come n c lar... Mayb u neva set properly u got da help sheet wif u...
ham,R u still working now?
ham,In work now. Going have in few min.
ham,I don't think he has spatula hands!
ham,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..
ham,Ya but it cant display internal subs so i gotta extract them
ham,Mm feeling sleepy. today itself i shall get that dear
ham,"That€˜s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!"
ham,He is world famamus....
ham,Ok i am on the way to home hi hi
ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
ham,I WILL CAL YOU SIR. In meeting
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
ham,Ok. How many should i buy.
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something
ham,"I can't right this second, gotta hit people up first"
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
ham,Yes watching footie but worried we're going to blow it - Phil Neville?
ham,Then get some cash together and I'll text jason
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.
ham,LOL ... Have you made plans for new years?
ham,You should change your fb to jaykwon thuglyfe falconerf
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,JADE ITS PAUL. Y DIDN’T U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME
ham,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols"
ham,Talk to g and x about that
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
spam,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
ham,Can you use foreign stamps for whatever you send them off for? 
ham,Then ur physics get a-?
ham,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*"
ham,I have to take exam with march 3
ham,To day class is there are no class.
ham,... Are you in the pub?
ham,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with"
ham,I liked the new mobile
ham,Are you coming to day for class.
ham,I'm at work. Please call
ham,Then i buy.
ham,That one week leave i put know that time. Why.
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
ham,Ic. There are a lotta childporn cars then.
ham,Thanks. It was only from tescos but quite nice. All gone now. Speak soon 
ham,Draw va?i dont think so:)
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
ham,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(
ham,Nice.nice.how is it working?
ham,K:)k..its good:)when are you going?
ham,East coast
ham,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. u got a lot of work ar?
spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
ham,Happy birthday... May all ur dreams come true...
ham,Would really appreciate if you call me. Just need someone to talk to.
ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
ham,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear & best friends.. GOODEVENING Dear..:)
ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
spam,Urgent Please call 09066612661 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ €œ
ham,"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!"
ham,Ok lar... Joking wif u oni...
spam,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!
ham,Nah im goin 2 the wrks with j wot bout u?
ham,"Not really dude, have no friends i'm afraid :("
ham,K go and sleep well. Take rest:-).
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
ham,Omg how did u know what I ate?
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea"
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,I just cooked a rather nice salmon a la you
spam,"URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011"
ham,Mmmm ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*
spam,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020"
ham,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc"
ham,I got arrested for possession
ham,Anything lor is she coming?
ham,Yes its possible but dint try. Pls dont tell to any one k
ham,Congrats kano..whr s the treat maga?
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
ham,Hasn't that been the pattern recently crap weekends?
spam,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost £1.50. 2 cancel send STOP"
ham,I was gonna ask you lol but i think its at 7
ham,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.
ham,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
ham,"Sorry, I can't text & drive coherently, see you in twenty"
ham,Send to someone else :-)
spam,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
ham,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite & sweet dreams
ham,I'm done. C u there.
ham,Lol yeah at this point I guess not
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
ham,Lol for real. She told my dad I have cancer
spam,"URGENT! Your mobile No *********** WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
ham,They just talking thats it de. They wont any other.
ham,Probably a couple hours tops
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx
ham,Just finished. Missing you plenty
ham,Carlos says we can pick up from him later so yeah we're set
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
ham,Eh u send wrongly lar...
ham,When u wana see it then
ham,How would my ip address test that considering my computer isn't a minecraft server
ham,Sorry that was my uncle. I.ll keep in touch
ham,Probably earlier than that if the station's where I think it is
ham,Yes.mum lookin strong:)
ham,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude
ham,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...
ham,Are you driving or training?
ham,"... we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon "
ham,Jay says that you're a double-faggot
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
ham,"By the way, 'rencontre' is to meet again. Mountains dont...."
ham,We left already we at orchard now.
